URN,CTSURN,LatinName,EnglishName
urn:cite:chs:work.tlg0007_tlg090,urn:cts:greekLit:tlg0007.tlg090,"De E Apud Delphos (384d- 394c)","On the El at Delphi"
urn:cite:chs:work.tlg0007_tlg131,urn:cts:greekLit:tlg0007.tlg131,"De Esu Carnium I (993a- 996c)","On the Eating of Flesh I"
urn:cite:chs:work.tlg0007_tlg132,urn:cts:greekLit:tlg0007.tlg132,"De Esu Carnium II (996d- 999b)","On the Eating of Flesh II"
urn:cite:chs:work.tlg0007_tlg110,urn:cts:greekLit:tlg0007.tlg110,"De Exilio (599a- 607f)","On Exilio"
urn:cite:chs:work.tlg0007_tlg126,urn:cts:greekLit:tlg0007.tlg126,"De Facie In Orbe Lunae (920b- 945e)","On the Face Which Appears in the Orb of the Moon"
urn:cite:chs:work.tlg0007_tlg108,urn:cts:greekLit:tlg0007.tlg108,"De Fato (568b- 574f)","On Fate"
urn:cite:chs:work.tlg0007_tlg074,urn:cts:greekLit:tlg0007.tlg074,"De Fortuna (97c- 100a)","On Chance"
urn:cite:chs:work.tlg0007_tlg086,urn:cts:greekLit:tlg0007.tlg086,"De Fortuna Romanorum (316c- 326c)","On the Fortune of the Romans"
urn:cite:chs:work.tlg0007_tlg097,urn:cts:greekLit:tlg0007.tlg097,"De Fraterno Amore (478a- 492d)","On Brotherly Love"
urn:cite:chs:work.tlg0007_tlg101,urn:cts:greekLit:tlg0007.tlg101,"De Garrulitate (502b- 515a)","On Talkativeness"
urn:cite:chs:work.tlg0007_tlg109,urn:cts:greekLit:tlg0007.tlg109,"De Genio Socratis (575a- 598f)","On the Sign of Socrates"
urn:cite:chs:work.tlg0007_tlg088,urn:cts:greekLit:tlg0007.tlg088,"De Gloria Atheniensium (345c- 351b)","On the Glory of the Athenians"
urn:cite:chs:work.tlg0007_tlg123,urn:cts:greekLit:tlg0007.tlg123,"De Herodoti Malignitate (854e- 874c)","On the Malice of Herodotus"
urn:cite:chs:work.tlg0007_tlg105,urn:cts:greekLit:tlg0007.tlg105,"De Invidia Et Odio (536e- 538e)","On Envy and Hate"
urn:cite:chs:work.tlg0007_tlg089,urn:cts:greekLit:tlg0007.tlg089,"De Iside Et Osiride (351c- 384c)","On Isis and Osiris"
urn:cite:chs:work.tlg0007_tlg141,urn:cts:greekLit:tlg0007.tlg141,"De Latenter Vivendo (1128a- 1130e)","On Living Unoticed"
urn:cite:chs:work.tlg0007_tlg106,urn:cts:greekLit:tlg0007.tlg106,"De Laude Ipsius (539a- 547f)","On Praising Oneself Inoffensively"
urn:cite:chs:work.tlg0007_tlg067,urn:cts:greekLit:tlg0007.tlg067,"De Liberis Educandis (1a- 14c)","On the Education of Children"
urn:cite:chs:work.tlg0007_tlg143,urn:cts:greekLit:tlg0007.tlg143,"De Libidine Et Aegritudine","On Disease and Grief"
urn:cite:chs:work.tlg0007_tlg127,urn:cts:greekLit:tlg0007.tlg127,"De Primo Frigido (945f- 955c)","On the Principle of Cold"
urn:cite:chs:work.tlg0007_tlg149,urn:cts:greekLit:tlg0007.tlg149,"De Proverbiis Alexandrinorum","On the Proverbs of Alexander"
urn:cite:chs:work.tlg0007_tlg091,urn:cts:greekLit:tlg0007.tlg091,"De Pythiae Oraculis (394d- 409d)","Oracles at Delphi no Longer Given in Verse"
urn:cite:chs:work.tlg0007_tlg069,urn:cts:greekLit:tlg0007.tlg069,"De Recta Ratione Audiendi (37b- 48d)","On Hearing"
urn:cite:chs:work.tlg0007_tlg107,urn:cts:greekLit:tlg0007.tlg107,"De Sera Numinis Vindicta (548a- 568a)","On the Delays of Divine Vengeance"
urn:cite:chs:work.tlg0007_tlg129,urn:cts:greekLit:tlg0007.tlg129,"De Sollertia Animalium (959a- 985c)","Whether Land or Sea Animals are More Clever"
urn:cite:chs:work.tlg0007_tlg136,urn:cts:greekLit:tlg0007.tlg136,"De Stoicorum Repugnantiis (1033a- 1057b)","On Stoic Self-Contradictions"
urn:cite:chs:work.tlg0007_tlg080,urn:cts:greekLit:tlg0007.tlg080,"De Superstitione (164e- 171f)","On Superstition"
urn:cite:chs:work.tlg0007_tlg096,urn:cts:greekLit:tlg0007.tlg096,"De Tranquillitate Animi (464e- 477f)","On Tranquility of Mind"
urn:cite:chs:work.tlg0007_tlg077,urn:cts:greekLit:tlg0007.tlg077,"De Tuenda Sanitate Praecepta (122b- 137e)","Advice about Keeping Well"
urn:cite:chs:work.tlg0007_tlg075,urn:cts:greekLit:tlg0007.tlg075,"De Virtute Et Vitio (100b- 101e)","On Virtue and Vice"
urn:cite:chs:work.tlg0007_tlg094,urn:cts:greekLit:tlg0007.tlg094,"De Virtute Morali (440d- 452d)","On Moral Virtue"
urn:cite:chs:work.tlg0007_tlg120,urn:cts:greekLit:tlg0007.tlg120,"De Vitando Aere Alieno (827d- 832a)","That we Ought Not to Borrow"
urn:cite:chs:work.tlg0007_tlg104,urn:cts:greekLit:tlg0007.tlg104,"De Vitioso Pudore (528c- 536d)","On Compliancy"
urn:cite:chs:work.tlg0007_tlg119,urn:cts:greekLit:tlg0007.tlg119,"De unius in republica dominatione, populari statu, et paucorum imperio (826a–827c)","On Monarchy, Democracy, and Oligarchy"
urn:cite:chs:work.tlg0007_tlg057,urn:cts:greekLit:tlg0007.tlg057,Demetrius,Demetrius
urn:cite:chs:work.tlg0007_tlg054,urn:cts:greekLit:tlg0007.tlg054,Demosthenes,Demosthenes
urn:cite:chs:work.tlg0007_tlg060,urn:cts:greekLit:tlg0007.tlg060,Dion,Dion
urn:cite:chs:work.tlg0007_tlg135,urn:cts:greekLit:tlg0007.tlg135,"Epitome Libri De Animae Procreatione In Timaeo (1030d- 1032f)","Summary of the Birth of the Spirit"
urn:cite:chs:work.tlg0007_tlg041,urn:cts:greekLit:tlg0007.tlg041,Eumenes,Eumenes
urn:cite:chs:work.tlg0007_tlg013,urn:cts:greekLit:tlg0007.tlg013,"Fabius Maximus",Fabius
urn:cite:chs:work.tlg0007_tlg065,urn:cts:greekLit:tlg0007.tlg065,Galba,Galba
urn:cite:chs:work.tlg0007_tlg036,urn:cts:greekLit:tlg0007.tlg036,Lucullus,Lucullus
urn:cite:chs:work.tlg0007_tlg004,urn:cts:greekLit:tlg0007.tlg004,Lycurgus,Lycurgus
urn:cite:chs:work.tlg0007_tlg032,urn:cts:greekLit:tlg0007.tlg032,Lysander,Lysander
urn:cite:chs:work.tlg0007_tlg022,urn:cts:greekLit:tlg0007.tlg022,Marcellus,Marcellus
urn:cite:chs:work.tlg0007_tlg016,urn:cts:greekLit:tlg0007.tlg016,"Marcius Coriolanus",Coriolanus
urn:cite:chs:work.tlg0007_tlg031,urn:cts:greekLit:tlg0007.tlg031,Marius,Marius
urn:cite:chs:work.tlg0007_tlg115,urn:cts:greekLit:tlg0007.tlg115,"Maxime Cum Principibus Philosopho Esse Disserendum (776a- 779c)","A Philosopher Ought to Converse Especially with Men in Power"
urn:cite:chs:work.tlg0007_tlg083,urn:cts:greekLit:tlg0007.tlg083,"Mulierum Virtutes (242e- 263c)","Virtues of Women"
urn:cite:chs:work.tlg0007_tlg038,urn:cts:greekLit:tlg0007.tlg038,Nicias,Nicias
urn:cite:chs:work.tlg0007_tlg139,urn:cts:greekLit:tlg0007.tlg139,"Non Posse Suaviter Vivi Secundum Epicurum (1086c- 1107c)","It is Impossible to Live Pleasantly in the Manner of Epicurus"
urn:cite:chs:work.tlg0007_tlg005,urn:cts:greekLit:tlg0007.tlg005,Numa,"Numa Pompilius"
urn:cite:chs:work.tlg0007_tlg066,urn:cts:greekLit:tlg0007.tlg066,Otho,Otho
urn:cite:chs:work.tlg0007_tlg085,urn:cts:greekLit:tlg0007.tlg085,"Parallela Minora (305a- 316b)","Greek and Roman Parallel Stories"
urn:cite:chs:work.tlg0007_tlg144,urn:cts:greekLit:tlg0007.tlg144,"Parsne An Facultas Animi Sit Vita Passiva",
urn:cite:chs:work.tlg0007_tlg021,urn:cts:greekLit:tlg0007.tlg021,Pelopidas,Pelopidas
urn:cite:chs:work.tlg0007_tlg012,urn:cts:greekLit:tlg0007.tlg012,Pericles,Pericles
urn:cite:chs:work.tlg0007_tlg027,urn:cts:greekLit:tlg0007.tlg027,Philopoemen,Philopoemen
urn:cite:chs:work.tlg0007_tlg049,urn:cts:greekLit:tlg0007.tlg049,Phocion,Phocion
urn:cite:chs:work.tlg0007_tlg133,urn:cts:greekLit:tlg0007.tlg133,"Platonicae Quaestiones (999c- 1011e)","Platonic Questions"
urn:cite:chs:work.tlg0007_tlg045,urn:cts:greekLit:tlg0007.tlg045,Pompeius,Pompey
urn:cite:chs:work.tlg0007_tlg118,urn:cts:greekLit:tlg0007.tlg118,"Praecepta Gerendae Reipublicae (798a- 825f)","Precepts of Statecraft"
urn:cite:chs:work.tlg0007_tlg008,urn:cts:greekLit:tlg0007.tlg008,Publicola,Publicola
urn:cite:chs:work.tlg0007_tlg030,urn:cts:greekLit:tlg0007.tlg030,Pyrrhus,Pyrrhus
urn:cite:chs:work.tlg0007_tlg112,urn:cts:greekLit:tlg0007.tlg112,"Quaestiones Convivales (612c- 748d)","Table Talk"
urn:cite:chs:work.tlg0007_tlg068,urn:cts:greekLit:tlg0007.tlg068,"Quomodo Adolescens Poetas Audire Debeat (14d- 37b)","How the Young Man Should Study Poetry"
urn:cite:chs:work.tlg0007_tlg070,urn:cts:greekLit:tlg0007.tlg070,"Quomodo Adulator Ab Amico Internoscatur (48e- 74e)","How to Tell a Flatterer from a Friend"
urn:cite:chs:work.tlg0007_tlg071,urn:cts:greekLit:tlg0007.tlg071,"Quomodo Quis Suos In Virtute Sentiat Profectus (75a- 86a)","How a Man May Become Aware of his Progress in Virtue"
urn:cite:chs:work.tlg0007_tlg081,urn:cts:greekLit:tlg0007.tlg081,"Regum Et Imperatorum Apophthegmata (172b- 208a)","Sayings of Kings and Commanders"
urn:cite:chs:work.tlg0007_tlg002,urn:cts:greekLit:tlg0007.tlg002,Romulus,Romulus
urn:cite:chs:work.tlg0007_tlg079,urn:cts:greekLit:tlg0007.tlg079,"Septem Sapientium Convivium (146b- 164d)","Dinner of the Seven Wise Men"
urn:cite:chs:work.tlg0007_tlg042,urn:cts:greekLit:tlg0007.tlg042,Sertorius,Sertorius
urn:cite:chs:work.tlg0007_tlg007,urn:cts:greekLit:tlg0007.tlg007,Solon,Solon
urn:cite:chs:work.tlg0007_tlg137,urn:cts:greekLit:tlg0007.tlg137,"Stoicos Absurdiora Poetis Dicere (1057c- 1058e)","The Stoics Speak More Paradoxically than the Poets"
urn:cite:chs:work.tlg0007_tlg033,urn:cts:greekLit:tlg0007.tlg033,Sulla,Sulla
urn:cite:chs:work.tlg0007_tlg010,urn:cts:greekLit:tlg0007.tlg010,Themistocles,Themistocles
urn:cite:chs:work.tlg0007_tlg001,urn:cts:greekLit:tlg0007.tlg001,Theseus,Theseus
urn:cite:chs:work.tlg0007_tlg052,urn:cts:greekLit:tlg0007.tlg052,"Tiberius Et Gaius Gracchus","Tiberius and Gaius Gracchus"
urn:cite:chs:work.tlg0007_tlg018,urn:cts:greekLit:tlg0007.tlg018,Timoleon,Timoleon
urn:cite:chs:work.tlg0007_tlg028,urn:cts:greekLit:tlg0007.tlg028,"Titus Flamininus",Flaminius
urn:cite:chs:work.tlg0007_tlg121,urn:cts:greekLit:tlg0007.tlg121,"Vitae Decem Oratorum (832b- 852e)","Lives of the Ten Orators"
urn:cite:chs:work.tlg0007_tlg146,urn:cts:greekLit:tlg0007.tlg146,"Παροιμίαι αἷς Ἀλεξανδρεῖς Ἐχρῶντο",
urn:cite:chs:work.tlg0008_tlg001,urn:cts:greekLit:tlg0008.tlg001,Deipnosophistae,"The Learned Banquet"
urn:cite:chs:work.tlg0008_tlg003,urn:cts:greekLit:tlg0008.tlg003,"Deipnosophistae (Epitome)","The Learned Banquet (Epitome)"
urn:cite:chs:work.tlg0010_tlg028,urn:cts:greekLit:tlg0010.tlg028,"Ad Alexandrum (Epist. 5)","To Alexander"
urn:cite:chs:work.tlg0010_tlg029,urn:cts:greekLit:tlg0010.tlg029,"Ad Antipatrum (Epist. 4)","To Antipater"
urn:cite:chs:work.tlg0010_tlg024,urn:cts:greekLit:tlg0010.tlg024,"Ad Archidamum (Epist. 9)","To Archidamus"
urn:cite:chs:work.tlg0010_tlg007,urn:cts:greekLit:tlg0010.tlg007,"Ad Demonicum (Orat. 1)","To Demonicus"
urn:cite:chs:work.tlg0010_tlg022,urn:cts:greekLit:tlg0010.tlg022,"Ad Dionysium (Epist. 1)","To Dionysius"
urn:cite:chs:work.tlg0010_tlg023,urn:cts:greekLit:tlg0010.tlg023,"Ad Filios Jasonis (Epist. 6)","To the Children of Jason"
urn:cite:chs:work.tlg0010_tlg013,urn:cts:greekLit:tlg0010.tlg013,"Ad Nicoclem (Orat. 2)","To Nicocles"
urn:cite:chs:work.tlg0010_tlg027,urn:cts:greekLit:tlg0010.tlg027,"Ad Philippum (Epist. 2)","To Philip, II"
urn:cite:chs:work.tlg0010_tlg030,urn:cts:greekLit:tlg0010.tlg030,"Ad Philippum (Epist. 3)","To Philip, III"
urn:cite:chs:work.tlg0010_tlg025,urn:cts:greekLit:tlg0010.tlg025,"Ad Reges Mytilenaeos (Epist. 8)","To The Rulers Of The Mytilenaeans"
urn:cite:chs:work.tlg0010_tlg026,urn:cts:greekLit:tlg0010.tlg026,"Ad Timotheum (Epist. 7)","To Timotheus"
urn:cite:chs:work.tlg0010_tlg006,urn:cts:greekLit:tlg0010.tlg006,"Aegineticus (Orat. 19)",Aegineticus
urn:cite:chs:work.tlg0010_tlg019,urn:cts:greekLit:tlg0010.tlg019,"Antidosis (Orat. 15)",Antidosis
urn:cite:chs:work.tlg0010_tlg016,urn:cts:greekLit:tlg0010.tlg016,"Archidamus (Orat. 6)",Archidamus
urn:cite:chs:work.tlg0010_tlg018,urn:cts:greekLit:tlg0010.tlg018,"Areopagiticus (Orat. 7)",Areopagiticus
urn:cite:chs:work.tlg0010_tlg010,urn:cts:greekLit:tlg0010.tlg010,"Busiris (Orat. 11)",Busiris
urn:cite:chs:work.tlg0010_tlg004,urn:cts:greekLit:tlg0010.tlg004,"De Bigis (Orat. 16)","On the Team of Horses"
urn:cite:chs:work.tlg0010_tlg017,urn:cts:greekLit:tlg0010.tlg017,"De Pace (Orat. 8)","On the Peace"
urn:cite:chs:work.tlg0010_tlg015,urn:cts:greekLit:tlg0010.tlg015,"Evagoras (Orat. 9)",Evagoras
urn:cite:chs:work.tlg0010_tlg009,urn:cts:greekLit:tlg0010.tlg009,"Helenae Encomium (Orat. 10)",Helen
