URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg0638,urn:cts:greekLit:tlg0638:,"Flavius Philostratus",Philostratus
urn:cite:chs:textgroup.tlg0640,urn:cts:greekLit:tlg0640:,Alciphron,Alciphron
urn:cite:chs:textgroup.tlg0641,urn:cts:greekLit:tlg0641:,Xenophon,"Xenophon (of Ephesus)"
urn:cite:chs:textgroup.tlg0644,urn:cts:greekLit:tlg0644:,Aristophanes,"Aristophanes (of Byzantium)"
urn:cite:chs:textgroup.tlg0645,urn:cts:greekLit:tlg0645:,"Justinus Martyr","Justin Martyr"
urn:cite:chs:textgroup.tlg0649,urn:cts:greekLit:tlg0649:,Lesbonax,Lesbonax
urn:cite:chs:textgroup.tlg0651,urn:cts:greekLit:tlg0651:,"Antoninus Liberalis","Antoninus Liberalis"
urn:cite:chs:textgroup.tlg0652,urn:cts:greekLit:tlg0652:,"Philostratus Junior","Philostratus the Younger"
urn:cite:chs:textgroup.tlg0653,urn:cts:greekLit:tlg0653:,Aratus,Aratus
urn:cite:chs:textgroup.tlg0655,urn:cts:greekLit:tlg0655:,Parthenius,Parthenius
urn:cite:chs:textgroup.tlg0657,urn:cts:greekLit:tlg0657:,Crateuas,Crateuas
urn:cite:chs:textgroup.tlg0658,urn:cts:greekLit:tlg0658:,Heliodorus,Heliodorus
urn:cite:chs:textgroup.tlg0660,urn:cts:greekLit:tlg0660:,Apollonius,Apollonius
urn:cite:chs:textgroup.tlg0663,urn:cts:greekLit:tlg0663:,"Praecepta Salubria",
urn:cite:chs:textgroup.tlg0666,urn:cts:greekLit:tlg0666:,Adrianus,Hadrian
urn:cite:chs:textgroup.tlg0667,urn:cts:greekLit:tlg0667:,"Marcellinus I",Marcellinus
urn:cite:chs:textgroup.tlg0671,urn:cts:greekLit:tlg0671:,Philumenus,Philumenus
urn:cite:chs:textgroup.tlg0676,urn:cts:greekLit:tlg0676:,Aglais,Aglais
urn:cite:chs:textgroup.tlg0693,urn:cts:greekLit:tlg0693:,Albinus,Albinus
urn:cite:chs:textgroup.tlg0708,urn:cts:greekLit:tlg0708:,Ammonius,Ammonius
urn:cite:chs:textgroup.tlg0717,urn:cts:greekLit:tlg0717:,Hypsicles,Hypsicles
urn:cite:chs:textgroup.tlg0719,urn:cts:greekLit:tlg0719:,Aretaeus,Aretaeus
urn:cite:chs:textgroup.tlg0732,urn:cts:greekLit:tlg0732:,Alexander,"Alexander of Aphrodisias"
urn:cite:chs:textgroup.tlg0733,urn:cts:greekLit:tlg0733:,"Cassius Iatrosophista","Cassius Iatrosophista"
urn:cite:chs:textgroup.tlg0749,urn:cts:greekLit:tlg0749:,"Antoninus Liberalis","Antoninus Liberalis"
urn:cite:chs:textgroup.tlg1016,urn:cts:greekLit:tlg1016:,"Ostanes Magus",Ostanes
urn:cite:chs:textgroup.tlg1124,urn:cts:greekLit:tlg1124:,"Andronicus Rhodius","Andronicus of Rhodes"
urn:cite:chs:textgroup.tlg1149,urn:cts:greekLit:tlg1149:,"Antonini Pii Imperatoris Epistula","The Letters of Emperor Antoninus Pius"
urn:cite:chs:textgroup.tlg1157,urn:cts:greekLit:tlg1157:,"Apocalypsis Esdrae","The Apocalypse of Ezra"
urn:cite:chs:textgroup.tlg1158,urn:cts:greekLit:tlg1158:,"Apocalypsis Joannis","The Apocryphon of John"
urn:cite:chs:textgroup.tlg1165,urn:cts:greekLit:tlg1165:,Apollodorus,Apollodorus
